date,SRV,poolval,CapRealBTC
2016-12-29,1257.56,1424751.42,3924.02
2016-12-30,1238.71,1462212.51,3912.51
2016-12-31,1234.91,1437735.01,3900.37
2017-01-01,1210.27,1473485.48,3886.81
2017-01-02,1197.11,1447528.57,3870.9
2017-01-03,1171.89,1460163.65,3820.74
2017-01-04,1172.21,1434087.39,3808.87
2017-01-05,1161.52,1464163.81,3804.74
2017-01-06,1173.71,1438877.28,3811.29
2017-01-07,1156.65,1496537.59,3821.83
2017-01-08,1179.16,1467114.96,3595.29
2017-01-09,1216.93,1480272.62,3639.41
2017-01-10,1184.61,1481902.32,3630.68
2017-01-11,1243.52,1477743.8,3662.2
2017-01-12,1215.22,1488149.93,3717.34
2017-01-13,1321.0,1500399.75,3868.24
2017-01-14,1293.46,1506929.3,3912.78
2017-01-15,1338.43,1506805.24,3961.34
2017-01-16,1316.31,1498593.73,3955.23
2017-01-17,1382.43,1498698.92,3940.1
2017-01-18,1349.04,1508008.94,3930.04
2017-01-19,1420.48,1514254.71,3990.73
2017-01-20,1393.23,1518197.16,3987.32
2017-01-21,1427.08,1524212.65,3993.25
2017-01-22,1393.66,1520617.04,4008.6
2017-01-23,1477.68,1514987.4,4042.1
2017-01-24,1436.35,1526002.76,4069.4
2017-01-25,1498.23,1538310.41,4098.21
2017-01-26,1456.32,1528308.31,4264.72
2017-01-27,1514.57,1531629.15,4307.18
2017-01-28,1480.08,1514291.91,4363.44
2017-01-29,1605.75,1506556.02,4588.46
2017-01-30,1734.37,1535391.75,4714.22
2017-01-31,1685.54,1535041.26,4879.65
2017-02-01,1864.84,1524864.98,5100.0
2017-02-02,1817.85,1530401.8,5223.09
2017-02-03,1960.03,1516788.07,5355.1
2017-02-04,1928.84,1521222.21,5637.9
2017-02-05,2150.53,1496697.7,5829.24
2017-02-06,2098.16,1522933.34,5856.39
2017-02-07,2305.86,1508357.45,5915.38
2017-02-08,2238.24,1527533.39,5998.38
2017-02-09,2449.79,1519609.71,6232.35
2017-02-10,2373.4,1534032.05,6311.09
2017-02-11,2509.13,1517635.83,6371.05
2017-02-12,2451.14,1524088.95,6437.52
2017-02-13,2636.05,1503562.8,6576.78
2017-02-14,2596.52,1532900.66,6601.81
2017-02-15,2889.5,1515362.91,6696.6
2017-02-16,2803.83,1577113.42,6711.9
2017-02-17,2939.12,1574713.64,6699.44
2017-02-18,2983.11,1613196.85,6674.15
2017-02-19,2962.18,1610276.13,6692.88
2017-02-20,3020.23,1625395.82,6684.48
2017-02-21,3028.31,1641942.26,6660.52
2017-02-22,3045.94,1654479.96,6691.07
2017-02-23,3105.7,1665711.45,6648.66
2017-02-24,3147.17,1689549.29,6699.34
2017-02-25,3207.69,1697696.78,6719.86
2017-02-26,3187.35,1714321.22,6755.81
2017-02-27,3249.41,1736266.78,6775.43
2017-02-28,3258.76,1741672.25,6779.17
2017-03-01,3304.17,1745395.49,6727.98
2017-03-02,3290.77,1760856.38,6725.74
2017-03-03,3359.17,1773108.64,6706.13
2017-03-04,3323.4,1796715.81,6724.1
2017-03-05,3390.74,1816673.03,6710.24
2017-03-06,3454.32,1844875.11,6750.18
2017-03-07,3426.59,1839630.16,6978.11
2017-03-08,3531.14,1859689.38,7080.23
2017-03-09,3626.81,1873062.17,7174.46
2017-03-10,3718.65,1886283.08,7326.34
2017-03-11,3872.1,1892978.51,7443.94
2017-03-12,4009.06,1907979.34,7928.09
2017-03-13,4166.56,1916830.26,8232.03
2017-03-14,4280.75,1921482.14,8363.9
2017-03-15,4478.36,1926867.81,8641.53
2017-03-16,4707.47,1946597.0,8978.35
2017-03-17,4887.36,1951473.61,9255.23
2017-03-18,5197.04,1976736.98,10052.16
2017-03-19,5496.81,1972203.53,10533.1
2017-03-20,5876.23,1989073.15,10934.83
2017-03-21,6334.9,2016340.52,11057.53
2017-03-22,6182.79,2014236.58,11333.74
2017-03-23,6600.74,2030074.34,12049.41
2017-03-24,7105.85,2025305.65,12745.48
2017-03-25,8104.49,2055529.22,13836.41
2017-03-26,8837.91,2055202.58,16312.89
2017-03-27,9115.83,2042435.23,16612.65
2017-03-28,9649.18,2077655.3,18100.33
2017-03-29,10530.68,2045502.59,18701.84
2017-03-30,10374.07,2055215.69,19612.93
2017-03-31,11156.74,2053540.29,20341.51
2017-04-01,11194.25,2029495.4,20950.66
2017-04-02,11557.94,2017600.39,21225.46
2017-04-03,11743.71,2010251.18,21376.89
2017-04-04,12148.34,2011626.41,21583.87
2017-04-05,12361.12,2046388.48,21865.58
2017-04-06,12842.7,2006049.36,21965.13
2017-04-07,12593.62,2078815.28,22091.38
2017-04-08,12995.46,2026920.43,22616.91
2017-04-09,13207.69,2047257.79,23196.41
2017-04-10,13261.66,2002125.7,23549.09
2017-04-11,13203.15,2026831.58,23826.99
2017-04-12,13415.24,1982365.08,24192.38
2017-04-13,13438.44,2003087.48,24430.39
2017-04-14,13723.16,1954730.12,24746.44
2017-04-15,13955.22,1981693.68,25190.7
2017-04-16,14337.08,1945873.45,25581.8
2017-04-17,14344.5,1999245.89,25885.26
2017-04-18,14635.99,1952672.67,26154.42
2017-04-19,14938.3,1989887.13,26748.66
2017-04-20,15295.29,1957737.48,27326.63
2017-04-21,16121.74,1996955.42,27914.93
2017-04-22,16065.46,1968208.16,28366.96
2017-04-23,15879.78,2030800.21,28766.51
2017-04-24,17117.81,1984506.94,29489.47
2017-04-25,17113.86,2006381.68,29932.12
2017-04-26,17389.33,1970023.32,30392.39
2017-04-27,17017.95,2015587.14,30587.37
2017-04-28,17748.32,1968100.88,30866.99
2017-04-29,17510.07,1999206.7,31276.67
2017-04-30,17810.16,1951464.81,31653.08
2017-05-01,17663.62,1978907.15,31723.01
2017-05-02,17881.96,1935245.06,31636.3
2017-05-03,18061.68,1972174.01,31739.84
2017-05-04,18458.73,1936606.01,31882.87
2017-05-05,18339.51,2019270.25,32050.02
2017-05-06,18920.14,1974487.28,32409.48
2017-05-07,18978.38,2037270.77,32684.03
2017-05-08,19157.7,1991028.63,32798.95
2017-05-09,18916.65,2047996.95,32622.39
2017-05-10,19219.64,1998492.96,32771.05
2017-05-11,18949.22,2044956.48,32780.9
2017-05-12,19025.01,1998767.54,33039.12
2017-05-13,18981.65,2037189.52,33572.26
2017-05-14,19041.69,1987477.78,33612.81
2017-05-15,19191.13,2024256.85,33672.57
2017-05-16,19603.04,1990470.48,33610.83
2017-05-17,19340.92,2078813.0,34701.41
2017-05-18,19540.76,2035177.36,34983.19
2017-05-19,19633.7,2039140.17,35018.4
2017-05-20,20085.3,2056099.24,35042.28
2017-05-21,19531.18,2052627.16,35227.65
2017-05-22,20136.58,2044518.86,35198.43
2017-05-23,19522.3,2041425.26,35398.22
2017-05-24,20107.57,2043531.21,35685.97
2017-05-25,19499.77,2026770.55,35817.18
2017-05-26,20038.44,2027068.14,35855.11
2017-05-27,19409.69,2023563.07,35910.09
2017-05-28,19853.67,2016437.37,35930.91
2017-05-29,19328.76,2011571.49,35968.14
2017-05-30,20235.05,2006224.84,36025.19
2017-05-31,19617.97,2029272.28,36122.61
2017-06-01,20449.62,2041789.4,36531.98
2017-06-02,19765.07,2048634.3,36957.91
